word,count
nagged,1
deride,1
unsatisfied,10
attacks,20
useless,52
warning,155
snubbed,5
exclude,1
scary,35
criticism,22
needy,2
o_o,1
disadvantage,13
excruciating,3
wavering,1
unconvinced,2
decaying,1
expelled,1
inadequately,1
dishonest,6
damnit,1
rants,2
suspicious,22
restlessness,2
fearsome,1
complain,126
horrific,6
unstable,4
anxiety,40
exploited,3
screams,11
debt,2
widowed,1
tears,29
shy,30
mistakes,12
disappoints,8
mistaken,24
phobias,2
burden,5
fu,2
jailed,2
unhappily,1
traumatic,6
appalling,6
trouble,346
unfair,19
sin,17
unacceptable,29
crestfallen,1
tease,8
rash,21
avoid,1463
appealing,1028
frustrated,56
delayed,11
sick,1449
bit,1142
fatigue,12
agony,2
bitterness,336
unaware,11
drag,21
intimidating,4
nastiest,13
violently,12
screwed,21
deceiving,14
disputed,3
lower,601
vain,6
wtf,8
wth,1
foolish,8
odd,249
traumatized,4
distraction,14
morons,1
toothless,2
annoying,80
nosey,2
plate,1006
lugubrious,1
freaky,2
freaks,12
misses,24
dire,5
prejudice,2
pissing,1
sadly,152
missed,114
obnoxious,6
distracting,6
hide,159
suspicions,5
punishment,4
troublesome,2
seriousness,9
misunderstood,2
complete,1063
pessimism,1
obliterated,2
domination,1
bribe,12
outrage,3
anger,3
contagious,1
criticisms,4
riskier,1
repulsive,963
dominating,3
dirt,80
confronted,1
lurk,1
hateful,1
dish,1001
devastating,4
worrisome,4
postpone,2
tense,1
errors,2
no,9111
lowly,1
incompetent,2
hostility,1
eerie,3
whine,13
tasted,1983
total,1006
misunderstanding,3
loses,37
blam,1
shitake,2
loser,4
savage,4
fight,76
blah,40
unfortunate,34
problematic,9
foolishly,4
demanding,10
frustrates,5
manipulating,4
nastier,1
nasties,1
backs,10
po,6
pu,2
threatening,2
pains,37
miserably,6
fighting,22
freakishly,1
scandal,6
slashing,1
horrible,1490
mocks,1
injury,16
choke,76
inadequate,7
deny,3
horribly,36
insanity,29
miserable,20
lowered,20
frustration,20
puke,8
aches,22
stopping,36
smuggle,2
stops,49
exhausts,1
fatally,1
moping,2
distracts,2
shakeup,2
harsher,6
poorest,1
poisoning,18
gloom,1
sux,1
disturb,2
liar,3
depressor,1
strained,14
offensive,28
numbness,1
stopped,513
fights,3
stalling,1
texture,963
strainer,55
threatened,4
enemies,2
grouchy,2
inflamed,6
dislike,84
risking,3
thoughtless,1
stunned,16
weakens,1
reluctant,34
hides,16
dumping,29
harried,1
dreadfully,1
retarded,2
dismal,1
sins,6
flavor,1020
inhibiting,1
dismay,36
failure,53
frightened,2
deceive,5
drop,236
kia,1
fooling,4
gag,60
frustrating,39
screw,62
missing,250
lies,20
overweight,49
brutal,4
weaker,84
inhibition,1
argue,24
182,1
weaken,9
lied,6
saddened,3
damn,34
187,1
gullible,1
pollutes,2
depresses,1
ridiculously,43
hesitant,127
hell,127
beyond,1049
devils,7
problem,1654
dreadful,17
depressed,10
abandoned,9
